row_index,review,clean_review,lexicon_score,positive_terms,negative_terms,positive_score,negative_score,likely_issue_type,evidence_pattern,reason
9,"Tampilan baru nya keren , aplikasi jak one juga sangat berguna banget karenakan banyak fitur seperti Bayar pulsa, listrik dan lain lain nya dan gak perlu ribet",tampilan nya keren aplikasi jak one berguna banget karenakan fitur bayar pulsa listrik nya tidak ribet,0.0,tampilan:1; berguna:5; banget:1; bayar:1; ribet:4,aplikasi:-4; pulsa:-3; tidak:-5,12.0,-12.0,ambiguous,keren; berguna; ribet,
28,Mantaaappp,mantaaappp,0.0,,,0.0,0.0,ambiguous,,
65,"Aplikasi mbanking sangat bagus, banyak manfaatnya, sekaligus banyak sekali fitur didalamnya, kalian wajib download aplikasi yg mempunya ATM jakone karena bermanfaat sekali",aplikasi mbanking bagus manfaatnya sekaligus fitur didalamnya kalian wajib download aplikasi mempunya atm jakone bermanfaat,0.0,bagus:2; manfaatnya:3; bermanfaat:5,aplikasi:-4; wajib:-2; aplikasi:-4,10.0,-10.0,likely_positive,bagus,positive pattern in neutral score zero row
71,Mantappssssss,mantappssssss,0.0,,,0.0,0.0,likely_positive,mantap,positive pattern in neutral score zero row
82,bikin uwe makin rajin nabung nih app!????,bikin uwe rajin nabung nih aplikasi,0.0,rajin:4,aplikasi:-4,4.0,-4.0,ambiguous,,
83,APLIKASI YG SANGAT MUDAH UNTUK MEMBUKA REKENING BANK DKI,aplikasi mudah membuka rekening bank dki,0.0,mudah:4,aplikasi:-4,4.0,-4.0,likely_positive,aplikasi mudah,positive pattern in neutral score zero row
88,"Pas selfi muter terus , di ulang2 malah ngabisin pulsa aja",pas selfi muter ulang2 ngabisin pulsa,0.0,pas:3,pulsa:-3,3.0,-3.0,ambiguous,,
97,Baguuss,baguuss,0.0,,,0.0,0.0,ambiguous,,
103,"Kerennn ternyata bank daerah juga punya m bangking yg bagus, ga nyangka mana apk nya bagus lagi ga ribet",kerennn ternyata bank daerah punya m bangking bagus tidak nyangka aplikasi nya bagus tidak ribet,0.0,punya:3; bagus:2; nyangka:3; bagus:2; ribet:4,tidak:-5; aplikasi:-4; tidak:-5,14.0,-14.0,ambiguous,bagus; keren; ribet,
174,Apk yang sangat membantu,aplikasi membantu,0.0,membantu:4,aplikasi:-4,4.0,-4.0,likely_positive,sangat membantu,positive pattern in neutral score zero row
200,"Aplikasi yang sangat membantu, mempermudah sekali, gampang di fahami, saya suka sekali sama aplikasi ini",aplikasi membantu mempermudah gampang fahami suka aplikasi,0.0,membantu:4; gampang:4; suka:3,aplikasi:-4; mempermudah:-3; aplikasi:-4,11.0,-11.0,likely_positive,sangat membantu,positive pattern in neutral score zero row
206,sebelum update aja loading nya udah lama. setelah update malah loadingnya seharian.,update loading nya udah setelah update loadingnya seharian,0.0,,,0.0,0.0,ambiguous,,
222,Masih mencoba,mencoba,0.0,,,0.0,0.0,ambiguous,,
244,apknya mudahh dipake😍,apknya mudahh dipake,0.0,,,0.0,0.0,ambiguous,,
251,"Aplikasinya user friendly, jadi bisa sat set kalo mau transaksi",aplikasi user friendly bisa sat set transaksi,0.0,transaksi:4,aplikasi:-4,4.0,-4.0,ambiguous,,
255,verifikasi wajah lama banget abis itu koneksi gagal,verifikasi wajah banget abis koneksi gagal,0.0,banget:1; abis:1; koneksi:2,gagal:-4,4.0,-4.0,ambiguous,,
271,"Rekomendasi banget buat aplikasi ini tanpa bawa uang cash cuma modal hp tanpa ribet bisa beli apapun sesuka hati dengan aplikasi inii,terima kasiiiih",rekomendasi banget aplikasi bawa uang cash modal hp ribet bisa beli apapun sesuka hati aplikasi inii terima kasiiiih,0.0,banget:1; bawa:1; cash:2; modal:2; beli:2; hati:2; terima:2,aplikasi:-4; ribet:-4; aplikasi:-4,12.0,-12.0,likely_negative,ribet,negative pattern in neutral score zero row
312,"Bagus versi yang lama, karna yang baru tidak bisa buka mutasi terakhir",bagus versi tidak bisa buka mutasi,0.0,bagus:2; buka:3,tidak:-5,5.0,-5.0,likely_positive,bagus,positive pattern in neutral score zero row
333,buruk banget Mauk ke aplikasih tulisan perikasn koneksi internet pake wifi kaya gth pake Kouta pribadi juga hadeeeh,buruk banget mauk aplikasih tulisan perikasn koneksi internet pakai wifi kaya gth pakai kouta pribadi hadeeeh,0.0,banget:1; koneksi:2; kaya:2,buruk:-5,5.0,-5.0,likely_negative,buruk,negative pattern in neutral score zero row
346,"Payah, Pembenahan nya terlalu lama",payah pembenahan nya,0.0,,,0.0,0.0,likely_negative,payah,negative pattern in neutral score zero row
358,Cil,cil,0.0,,,0.0,0.0,ambiguous,,
378,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
404,"Jeleeeeeeekkk,kacaaaaaaaaaaau",jeleeeeeeekkk kacaaaaaaaaaaau,0.0,,,0.0,0.0,ambiguous,,
416,Aplikasinya memudahkan banget dalam bertransaksi bayar listrik gapake ribet sekarang 👍,aplikasi memudahkan banget bertransaksi bayar listrik gapake ribet,0.0,memudahkan:3; banget:1; bertransaksi:3; bayar:1,aplikasi:-4; ribet:-4,8.0,-8.0,ambiguous,memudahkan; ribet,
420,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
434,"Ada banyak benetif gratis untuk aplikasi ini, mendapatkan reward Rp600rb saat mendaftar",benetif gratis aplikasi mendapatkan reward rp600rb mendaftar,0.0,gratis:4,aplikasi:-4,4.0,-4.0,ambiguous,,
437,Keren,keren,0.0,,,0.0,0.0,likely_positive,keren,positive pattern in neutral score zero row
453,Dengan satu genggaman sudah bisa mengakses dan mengelola keuangan kita.,genggaman bisa mengakses mengelola keuangan kita,0.0,,,0.0,0.0,ambiguous,,
503,"Aplikasi JakOne mobile bagus sekali. Banyak fiturnya, sangat membantu saya dalam transfer dan pembayaran apa pun. Apk ini bagus ukuran nya pun ngak perlu penyimpanan yang banyak",aplikasi jakone mobile bagus fiturnya membantu transfer pembayaran aplikasi bagus ukuran nya ngak penyimpanan,0.0,bagus:2; membantu:4; bagus:2,aplikasi:-4; aplikasi:-4,8.0,-8.0,likely_positive,sangat membantu; bagus,positive pattern in neutral score zero row
515,Terlalu sering update,update,0.0,,,0.0,0.0,ambiguous,,
535,Wow,wow,0.0,,,0.0,0.0,ambiguous,,
538,"Sangat fungsional, mempermudahkan aktifitas perbankan",fungsional mempermudahkan aktifitas perbankan,0.0,,,0.0,0.0,ambiguous,,
542,Aplikasi sangat membantu .,aplikasi membantu,0.0,membantu:4,aplikasi:-4,4.0,-4.0,likely_positive,sangat membantu,positive pattern in neutral score zero row
549,Saldo terpotong setiap kali dapet transferan. Kocak bgt,saldo terpotong setiap dapet transferan kocak banget,0.0,saldo:2; dapet:2; banget:1,terpotong:-3; kocak:-2,5.0,-5.0,ambiguous,,
553,Aku c yesss,c yesss,0.0,,,0.0,0.0,ambiguous,,
561,kebiasaan jakone tuu asal mau kayak gini gangguan Mulu aplikasi nya aneh banget,kebiasaan jakone tuu asal kayak gini gangguan mulu aplikasi nya aneh banget,0.0,mulu:2; aneh:4; banget:1,kayak:-3; aplikasi:-4,7.0,-7.0,ambiguous,,
562,"Jakone Mantab, semakin terdepan.. 👍👍👍",jakone mantab terdepan,0.0,,,0.0,0.0,ambiguous,,
564,kenapa setelah update pasword saya terblokir?,kenapa setelah update pasword terblokir,0.0,,,0.0,0.0,ambiguous,,
615,Aplikasi nya sangat membantu sekali,aplikasi nya membantu,0.0,membantu:4,aplikasi:-4,4.0,-4.0,likely_positive,sangat membantu; membantu sekali,positive pattern in neutral score zero row
622,Mengecewakan Fitur bi fast nya hilang tidak ada di aplikasi lagi. Padahal sangat menbantu bgt,mengecewakan fitur bi fast nya hilang tidak aplikasi padahal menbantu banget,0.0,hilang:3; aplikasi:4; banget:1,mengecewakan:-3; tidak:-5,8.0,-8.0,ambiguous,,
629,setiap lebaran selalu eror mohon cepat diperbaiki sistemnya,setiap lebaran error mohon cepat diperbaiki sistemnya,0.0,mohon:2; cepat:3,error:-5,5.0,-5.0,ambiguous,cepat; error; eror,
633,Lqďz3,lq z3,0.0,,,0.0,0.0,ambiguous,,
