pattern,total_matches,label_positif_count,label_negatif_count,label_netral_count,suspect_non_negative_count,example_correct_negative,example_suspect_non_negative,candidate_action
tidak bisa login,137,10,124,3,13,"review=Selalu gagal login, tidak bisa login kecuali pakai wifi | clean_review=gagal login tidak bisa login kecuali pakai wifi | lexicon_score=-9.0 | label=negatif",review=Kok saya ga bisa login ya buat aktivasi | clean_review=kok tidak bisa login ya aktivasi | lexicon_score=1.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
gagal login,6,1,5,0,1,"review=Selalu gagal login, tidak bisa login kecuali pakai wifi | clean_review=gagal login tidak bisa login kecuali pakai wifi | lexicon_score=-9.0 | label=negatif",review=gagal login terus menerus tolong segera d perbaiki | clean_review=gagal login menerus tolong segera d perbaiki | lexicon_score=2.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
login gagal,5,0,5,0,0,review=Mao daftar tapi pas bikin pasword login selalu gagal atau kode -(6116) | clean_review=mao daftar pas bikin pasword login gagal kode 6116 | lexicon_score=-3.0 | label=negatif,,review non-negative labels; high-confidence correction if phrase is central complaint
otp tidak masuk,45,0,42,3,3,review=Mana kode otp 7 hari 7 malam kode otp gak masuk2 | clean_review=kode otp 7 hari 7 malam kode otp tidak masuk2 | lexicon_score=-12.0 | label=negatif,review=Kenapa kode OTP tidak pernah masuk Susah sekali untuk menerima kode otp nya Tolong min berikan sosuli Kalau dapat solusi saya kasih bintang lima untuk sementara bintang dua dulu | clean_review=kenapa kode otp tidak masuk susah menerima kode otp nya tolong min berikan sosuli solusi kasih bintang bintang | lexicon_score=0.0 | label=netral,review non-negative labels; high-confidence correction if phrase is central complaint
otp lama,7,2,5,0,2,review=Ini saya nunggu kode otp lama banget buat login di device lain. Tetep gaa muncul kode otp nya min | clean_review=nunggu kode otp banget login device tetep gaa muncul kode otp nya min | lexicon_score=-3.0 | label=negatif,review=mau kirim otp aja lamanya ampun dah. padahal udah bener nomor nya | clean_review=kirim otp lamanya ampun dah padahal udah bener nomor nya | lexicon_score=3.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
kode otp tidak masuk,27,0,26,1,1,review=Mana kode otp 7 hari 7 malam kode otp gak masuk2 | clean_review=kode otp 7 hari 7 malam kode otp tidak masuk2 | lexicon_score=-12.0 | label=negatif,review=Kenapa kode OTP tidak pernah masuk Susah sekali untuk menerima kode otp nya Tolong min berikan sosuli Kalau dapat solusi saya kasih bintang lima untuk sementara bintang dua dulu | clean_review=kenapa kode otp tidak masuk susah menerima kode otp nya tolong min berikan sosuli solusi kasih bintang bintang | lexicon_score=0.0 | label=netral,review non-negative labels; high-confidence correction if phrase is central complaint
verifikasi gagal,6,2,3,1,3,"review=Tidak bisa verifakasi,verifikasi gagal untuk foto wajahnya | clean_review=tidak bisa verifakasi verifikasi gagal foto wajahnya | lexicon_score=-6.0 | label=negatif","review=Saya sudah sesuai panduan Sudah masuk NIK sudah sesuai, nomer rekening sudah sesuai , tanggal lahir sudah sesuai, dan alamat email sudah sesuai,, tapi verifikasi gagal Gimanah yaa?? Banyak gk bisa masuuukkk | clean_review=sesuai panduan masuk nik sesuai nomer rekening sesuai tanggal lahir sesuai alamat email sesuai verifikasi gagal gimanah yaa tidak bisa masuuukkk | lexicon_score=2.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
transaksi gagal,34,16,15,3,19,"review=pelayanan gak memuaskan via aplikasi jakone, mau transaksi via QRIS gak bisa gagal trus, mau ambil tunai di ATM DKI pun gak bisa gagal kecuali tarik di atas 1 juta baru bisa, dan untuk layanan transfer ke bank lain juga  | clean_review=pelayanan tidak memuaskan via aplikasi jakone transaksi via qris tidak bisa gagal ambil tunai atm dki tidak bisa gagal kecuali tarik atas 1 juta bisa layanan transfer bank tidak layanan bi fast hilangkan layanan pembelia | lexicon_score=-30.0 | label=negatif","review=Gajls transaksi gagal tapi saldo terpotong, udh gitu baliknya lama lagi kesaldo utamanya berhari hari, tolong dong dipercepat dan diperbaiki lagi pelayanannya, sudah 3x begini dalam 1 bulan | clean_review=gajls transaksi gagal saldo terpotong gitu baliknya kesaldo utamanya berhari hari tolong dipercepat diperbaiki pelayanannya 3x 1 bulan | lexicon_score=1.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
transfer gagal,20,2,18,0,2,"review=Terlalu sering gangguan, jika tf gagal saldo kepotong, laporan ke cs proses lama dan tidak ada hasilnya juga. | clean_review=gangguan transfer gagal saldo kepotong laporan cs proses tidak hasilnya | lexicon_score=-11.0 | label=negatif","review=setiap transfer gagal transaksi ,saldo hilang payah nih dki nunggu 2hari baru balik kocak !!!! | clean_review=setiap transfer gagal transaksi saldo hilang payah nih dki nunggu 2hari balik kocak | lexicon_score=1.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
top up gagal,0,0,0,0,0,,,review non-negative labels; high-confidence correction if phrase is central complaint
saldo hilang,5,4,1,0,4,"review=Saldo hilang. Aplikasinya kenapa sih?. Transfer antar bank selain DKI gk bisa, topup dana gk bisa, beli pulsa gk bisa. Ini aplikasi maunya gmna? Saya coba beli pulsa 100rbu, saldo udh kepotong, bahkan smpe 3 kali, artiny | clean_review=saldo hilang aplikasi kenapa sih transfer antar bank dki tidak bisa topup dana tidak bisa beli pulsa tidak bisa aplikasi maunya gmna coba beli pulsa 100rbu saldo kepotong bahkan smpe 3 artinya 300rbu saldo hilang pulsa t | lexicon_score=-13.0 | label=negatif",review=tolong dong perbaiki lagi lah masa top up malem sekitar jam 8 malam saldo hilang tanpa masuk ke e-wallet | clean_review=tolong perbaiki masa top up malem jam 8 malam saldo hilang masuk e wallet | lexicon_score=8.0 | label=positif,review non-negative labels; high-confidence correction if phrase is central complaint
saldo tidak masuk,5,1,4,0,1,review=Kirim ke dana tgl 28 mei 2024 tidak terkirim tapi saldo kepotong.. Sudah konfirm ke cabang terdekat tgl 29 mei tetep tidak ada pengembalian dana.. Tgl 3 Juni sudah telpon ke 1500 351 tetep tidak ada perubahan.. Nyoba tra | clean_review=kirim dana tgl 28 mei 2024 tidak terkirim saldo kepotong konfirm cabang terdekat tgl 29 mei tetep tidak pengembalian dana tgl 3 juni telpon 1500 351 tetep tidak perubahan nyoba transfer dana eh tidak taunya saldo berkura | lexicon_score=-13.0 | label=negatif,"review=Pelayanan nya lama banget dalam mengatasi masalah klien yang saldo tidak masuk ke emoney tapi saldo jakone sudah kepotong, masa harus nunggu 10 hari kerja duluh | clean_review=pelayanan nya banget mengatasi masalah klien saldo tidak masuk emoney saldo jakone kepotong masa nunggu 10 hari kerja duluh | lexicon_score=9.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
saldo tidak muncul,0,0,0,0,0,,,review non-negative labels; high-confidence correction if phrase is central complaint
error,643,91,534,18,109,"review=sering error', malah bikin susah rakyat Jakarta... | clean_review=error bikin susah rakyat jakarta | lexicon_score=-8.0 | label=negatif","review=Apk yg mudah di pahami, no eror eror .. gampang bnget jadi bertransaksi... Trimakasih jakone mobile.. sukses selalu | clean_review=aplikasi mudah pahami no error error gampang bnget bertransaksi trimakasih jakone mobile sukses | lexicon_score=4.0 | label=positif",review non-negative labels; high-confidence correction if phrase is central complaint
